Link,Volume Text

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:38:50 EDT

 4.0234  Voice Cards  (2/38)

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:43:57 EDT

 4.0235  The Absolute Last Word on ""Nerd""  (1/34)

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:45:30 EDT

 4.0236  Responses:  Midrash;  Transient Knowledge  (2/69)

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:48:51 EDT

 4.0237  Software Support  (1/27)

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:50:17 EDT

 4.0238  Electronic Books  (Cross-Posting)  (1/97)

 Elaine Brennan & Allen Renear Thu, 28 Jun 90 17:54:19 EDT

 4.0239  Qs: Spanish; Cyrillic; Saxe; SW Admin; FTP; (5/134)

 Elaine Brennan & Allen Renear Mon, 2 Jul 90 20:37:51 EDT

 4.0240  Computing for the Visually Impaired  (2/189)

 Elaine Brennan & Allen Renear Mon, 2 Jul 90 20:54:00 EDT

 4.0241  The Age of Knowledge  (2/38)

 Elaine Brennan & Allen Renear Mon, 2 Jul 90 21:01:33 EDT

 4.0242  Follow-ups:  Software Reviewers Needed;  French;  (2/26)

 Elaine Brennan & Allen Renear Mon, 2 Jul 90 21:06:22 EDT

 4.0243  Codex  (1/18)

 Elaine Brennan & Allen Renear Mon, 2 Jul 90 21:14:32 EDT

 4.0244  Responses:  Spanish Corpus;  CCAT   (2/62)

 Elaine Brennan & Allen Renear Tue, 3 Jul 90 17:12:12 EDT

 4.0245  Interfaces for Text Generation  (1/28)

 Elaine Brennan & Allen Renear Tue, 3 Jul 90 17:16:23 EDT

 4.0246   Miscellany:  Indexing;  Wonk;  Voice Card  (3/44)

 Elaine Brennan & Allen Renear Tue, 3 Jul 90 17:21:26 EDT

 4.0247  Qs:  Indexing; IPA; Ceramics; French; Etymology  (5/112)

 Elaine Brennan & Allen Renear Thu, 5 Jul 90 15:59:23 EDT

 4.0248  Recent Articles in the Popular Press  (1/67)

 Elaine Brennan & Allen Renear Thu, 5 Jul 90 16:06:22 EDT

 4.0249  Userid Directories  (1/75)

 Elaine Brennan & Allen Renear Thu, 5 Jul 90 16:09:19 EDT

 4.0250  Publishing Support;  Jewish/Civil Calendar  (2/38)

 Elaine Brennan & Allen Renear Thu, 5 Jul 90 16:12:56 EDT

 4.0251  Responses:  Nerd;  Knowledge  (2/26)

 Elaine Brennan & Allen Renear Thu, 5 Jul 90 16:17:23 EDT

 4.0252  Indexing  (4/145)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 15:45:47 EDT

 4.0253  Recursive Fiction  (1/211)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 15:47:37 EDT

 4.0254  Call for Papers;  Call for Reviewers  (2/35)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 15:51:37 EDT

 4.0255  AAUP Pamphlet;  Corresp. Analysis;  Bentivoglio  (3/54)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 15:58:06 EDT

 4.0256  Jewish Calendar;  IPA Font;  Francophone;  Tool  (4/47)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 16:01:22 EDT

 4.0257  Humanist Tasks;  Transience of Knowledge  (2/74)

 Elaine Brennan & Allen Renear Mon, 9 Jul 90 16:05:06 EDT

 4.0258  Indexing  (4/124)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:37:43 EDT

 4.0259  Queries:  ZyIndex and WordCruncher  (2/27)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:38:49 EDT

 4.0260  Knowledge and Memory  (3/100)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:43:58 EDT

 4.0261  Clearing Houses for Information?  (1/55)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:45:18 EDT

 4.0262   Qs:  Bibliographies;  HSLA;  E-Dickens and James  (3/45)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:49:26 EDT

 4.0263   On Recursive Fiction  (2/43)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:51:43 EDT

 4.0264  Responses:  Visual Impairment;  IPA Font  (2/32)

 Elaine Brennan & Allen Renear Tue, 10 Jul 90 16:53:32 EDT

 4.0265  Electronic Publishing Conference Announcement  (1/210)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:29:19 EDT

 4.0266  Linguistic Software Registry  (1/123)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:32:00 EDT

 4.0267  Follow-Up:  AAUP pamphlet;  Jewish/Civil Calendar  (2/43)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:36:03 EDT

 4.0268  Query:  Pat Retrieval Program  (1/12)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:40:11 EDT

 4.0269  Indexing Software;  Bibliographic Software  (3/46)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:43:43 EDT

 4.0270  Codex and Scroll/Canon  (1/51)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:45:55 EDT

 4.0271  Information;  Recursive Fiction  (2/29)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:49:12 EDT

 4.0272  Responses:  HSLA  (2/25)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:51:11 EDT

 4.0273  Memory Loss   (2/46)

 Elaine Brennan & Allen Renear Wed, 11 Jul 90 16:53:55 EDT

 4.0274  Qs:  CD-Shakespeare;  OPACs;  E-Belinda;  Laptops  (4/86)

 Elaine Brennan & Allen Renear Thu, 12 Jul 90 17:29:26 EDT

 4.0275   ACH/ALLC 91:  Call for Papers  (1/41)

 Elaine Brennan & Allen Renear Thu, 12 Jul 90 17:32:04 EDT

 4.0276  Responses: Codex Bibliography;  IPA Fonts;  Usher  (3/80)

 Elaine Brennan & Allen Renear Thu, 12 Jul 90 17:39:09 EDT

 4.0277   On Memory and Memorials;  Information (2)    (3/74)

 Elaine Brennan & Allen Renear Thu, 12 Jul 90 17:42:27 EDT

 4.0278  Responses: Indexing;  Disk/Disc;  Yates on Memory  (3/39)

 Elaine Brennan & Allen Renear Fri, 13 Jul 90 17:00:45 EDT

 4.0279  More on ""University as Clearinghouse""   (2/37)

 Elaine Brennan & Allen Renear Fri, 13 Jul 90 17:04:53 EDT

 4.0280  Query on Sherlock Holmes;  Quote Reference Book  (2/24)

 Elaine Brennan & Allen Renear Fri, 13 Jul 90 17:06:49 EDT

 4.0281  ""Jewish Greek"";  Diss. Abstract:  Masoretic Text  (2/131)

 Elaine Brennan & Allen Renear Fri, 13 Jul 90 17:12:50 EDT

 4.0282  Multilingual OCR   (1/91)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:21:32 EDT

 4.0283  Notes:  Halio;  Quotation Book  (2/46)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:23:56 EDT

 4.0284  Queries:  Borges;  Australian Email Problems  (2/53)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:26:18 EDT

 4.0285  University as Clearinghouse  (4/36)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:30:15 EDT

 4.0286  Memory  (5/139)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:37:42 EDT

 4.0287  Holmes' Brain  (4/137)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:41:16 EDT

 4.0288  COLING-90 Workshop: Textual & Lexical Resources  (1/48)

 Elaine Brennan & Allen Renear Mon, 16 Jul 90 18:44:27 EDT

 4.0289  Memory, Information, and Knowledge   (4/110)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:12:08 EDT

 4.0290  Notes on Books;  Query on Map Software  (3/46)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:18:36 EDT

 4.0291  Holmes       (2/27)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:22:15 EDT

 4.0292  MA in Computing and Art History  (1/43)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:27:39 EDT

 4.0293  Borges (and Foucault, and Kierkegaard)  (3/56)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:31:46 EDT

 4.0294  Criticism and Computing  (1/30)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:35:12 EDT

 4.0295  Neologisms  (1/274)

 Elaine Brennan & Allen Renear Tue, 17 Jul 90 18:43:49 EDT

 4.0297  Job Announcement: Museum Computer Network  (1/18)

 Elaine Brennan & Allen Renear Wed, 18 Jul 90 17:58:53 EDT

 4.0298  Queries:  WP Fonts;  Bibliographic Software  (2/100)

 Elaine Brennan & Allen Renear Wed, 18 Jul 90 18:03:25 EDT

 4.0299  Holmes; Borges and Foucault; ...and Kuhn; Zen  (4/103)

 Elaine Brennan & Allen Renear Wed, 18 Jul 90 18:07:53 EDT

 4.0300  Hypersatire  (1/108)

 Elaine Brennan & Allen Renear Wed, 18 Jul 90 18:09:33 EDT

 4.0301  Responses:  WordPerfect Fonts  (2/65)

 Elaine Brennan & Allen Renear Thu, 19 Jul 90 18:25:47 EDT

 4.0302  Q&N: Prolog/Lisp Exercises; Codex/Scroll refs.  (2/31)

 Elaine Brennan & Allen Renear Thu, 19 Jul 90 18:38:09 EDT

 4.0303  Hypertextuality;  On Roszak on Technology  (2/70)

 Elaine Brennan & Allen Renear Thu, 19 Jul 90 18:51:04 EDT

 4.0303  Hypertextuality; On Roszak...  (corrected)  (2/70)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 18:31:31 EDT

 4.0304  Responses: Indexing (1); WordPerfect fonts (2)  (3/52)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 18:43:46 EDT

 4.0305  N&Q:  Job Announcement;  Monitor Hazards  (2/65)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 18:46:37 EDT

 4.0306  Information, Knowledge, and Memory  (4/102)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 19:05:07 EDT

 4.0307  Borges and Foucault  (1/100)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 19:09:42 EDT

 4.0308  Monkey Mind  (2/27)

 Elaine Brennan & Allen Renear Fri, 20 Jul 90 19:13:10 EDT

 4.0309  Machine-Readable Buddhist Texts  (1/126)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:42:43 EDT

 4.0310  Monitor Hazards  (5/147)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:44:46 EDT

 4.0311  Hypersatire  (1/134)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:45:45 EDT

 4.0312  Borges  (2/40)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:46:54 EDT

 4.0313  Queries:  Quotation source;  Address sought  (2/26)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:48:38 EDT

 4.0314  Follow-ups:  Information and Knowledge;  Holmes  (2/46)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:50:36 EDT

 4.0315  Miscellany:  Winged Paraclete;  Disc v. Disk  (2/49)

 Elaine Brennan & Allen Renear Mon, 23 Jul 90 18:55:47 EDT

 4.0316  Jewish Inscriptions Project  (1/50)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:36:14 EDT

 4.0317  Writing Course at Texas Rejected  (1/75)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:39:01 EDT

 4.0318  Short-Term Memory  (1/56)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:41:53 EDT

 4.0319  Hypersatire;  Knowledge and Information  (2/48)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:43:55 EDT

 4.0320  Q&N:  Address Request;  Fractals;  Indexing  (3/47)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:47:50 EDT

 4.0321  E-List on Shakespeare Announced  (1/46)

 Elaine Brennan & Allen Renear Wed, 25 Jul 90 17:51:06 EDT

 4.0322  Retransmission of 4.0319 (Garbled Posting)  (2/48)

 Elaine Brennan & Allen Renear Thu, 26 Jul 90 16:51:46 EDT

 4.0323  Fractals;  Two Queries  (3/57)

 Elaine Brennan & Allen Renear Thu, 26 Jul 90 16:54:23 EDT

 4.0324  Query on Texas Writing Course  (1/11)

 Elaine Brennan & Allen Renear Thu, 26 Jul 90 16:56:35 EDT

 4.0325  More on UTexas Writing Course, Part I  (2/98)

 Elaine Brennan & Allen Renear Fri, 27 Jul 90 17:19:59 EDT

 4.0326  More on UTexas Writing Course:  Part II  (1/207)

 Elaine Brennan & Allen Renear Fri, 27 Jul 90 17:21:36 EDT

 4.0327  Responses:  Memory;  Book by Molnar;  Fractals  (3/59)

 Elaine Brennan & Allen Renear Fri, 27 Jul 90 17:25:13 EDT

 4.0328  Call for Papers:  Foreign Language Teaching  (1/45)

 Elaine Brennan & Allen Renear Fri, 27 Jul 90 17:31:19 EDT

 4.0329  Queries: GRAMCORD; Simtel; E. Journals; On Poems  (5/97)

 Elaine Brennan & Allen Renear Mon, 30 Jul 90 20:42:33 EDT

 4.0330  Responses: Multilingual OCR; Library Catalogues  (2/29)

 Elaine Brennan & Allen Renear Mon, 30 Jul 90 20:57:09 EDT

 4.0331  Memory, Right and Left  (2/39)

 Elaine Brennan & Allen Renear Mon, 30 Jul 90 21:03:21 EDT

 4.0332  The Real World of Technology  (1/102)

 Elaine Brennan & Allen Renear Mon, 30 Jul 90 21:05:46 EDT

 4.0333  Queries I:  NUDIST;  OCR;  Writing SW;  Centers  (4/78)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 22:30:39 EDT

 4.0334  Queries II:  Job for USSR Emigre;  Heisenberg  (2/38)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 22:46:31 EDT

 4.0335  Etext Qs: Shakespeare; Autobiographies; Petrarch  (5/50)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 22:52:29 EDT

 4.0336  Query:  Books on Academic Computing  (1/32)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 22:55:42 EDT

 4.0337  Notes:  Job;  Biblical Scholars Directory  (2/64)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:04:42 EDT

 4.0338  Language Engineering;  2nd Language/French  (2/73)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:07:20 EDT

 4.0339  Sensation v. Information; Handedness and Memory  (2/35)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:12:31 EDT

 4.0340  Rs:  Quote on Poetry; Simtel; Bibliography SW  (3/88)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:20:55 EDT

 4.0341  Conference Report:  Shadow of Spirit  (1/219)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:22:11 EDT

 4.0342  Technology  (3/104)

 Elaine Brennan & Allen Renear Tue, 31 Jul 90 23:27:40 EDT

 4.0343  Queries  (5/88)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:02:25 EDT

 4.0344  Responses on the Texas Writing Course  (4/136)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:08:06 EDT

 4.0345  Right Brain/Left Brain  (2/72)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:08:56 EDT

 4.0346  Hypersatire  (1/226)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:15:24 EDT

 4.0348  Editor Drops the Ball  (1/9)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:29:55 EDT

 4.0349  Responses:  Poems, Autobiographies, Technology  (3/38)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 10:31:51 EDT

 4.0351  More on UTexas Comp. Course  (4/88)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 16:10:37 EDT

 4.0352  Corrected Job Posting  (1/33)

 Elaine Brennan & Allen Renear Thu, 2 Aug 90 16:13:49 EDT

 4.0354  Memory, Information, Gender, and Handedness  (3/87)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:40:39 EDT

 4.0355  Queries  (5/115)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:45:34 EDT

 4.0356  The Real World of Technology?  (1/66)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:47:57 EDT

 4.0357  Texas Controversy, Part I  (4/124)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:51:49 EDT

 4.0358  Texas Controversy, Part II  (1/82)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:55:12 EDT

 4.0359  Responses:  Finding Erased Files;  FRAC-L Address  (2/17)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:57:19 EDT

 4.0360  Hypersatire  (1/286)

 Elaine Brennan & Allen Renear Fri, 3 Aug 90 18:58:52 EDT

 4.0361  Technology  (3/95)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:01:35 EDT

 4.0362  Texas Comp. Controversy  (4/102)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:09:44 EDT

 4.0363  Responses: 'Topics' in Rhetoric  (3/71)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:14:07 EDT

 4.0364  Handedness  (2/31)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:16:58 EDT

 4.0365  Hypersatire  (1/21)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:17:54 EDT

 4.0366  Responses:  Image Databases;  Heisenberg  (2/30)

 Elaine Brennan & Allen Renear Mon, 6 Aug 90 22:19:27 EDT

 4.0367  Responses:  Library Lists;  Hebrew Fonts  (3/51)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 20:50:49 EDT

 4.0368  'Topics' in Rhetoric  (1/35)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 20:51:59 EDT

 4.0369  Technology  (2/45)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 20:53:19 EDT

 4.0370  Handedness/Gender;  Heisenberg  (2/50)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 20:55:39 EDT

 4.0371  Text Encoding Initiative Guidelines Available  (1/74)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 20:57:53 EDT

 4.0372  Memory, Information, Handedness, &c.  (1/122)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 21:01:24 EDT

 4.0373  Texas Comp. Controversy  (2/274)

 Elaine Brennan & Allen Renear Tue, 7 Aug 90 21:04:42 EDT

 4.0374  'Topics' Bibliographies  (3/64)

 Elaine Brennan & Allen Renear Wed, 8 Aug 90 16:37:59 EDT

 4.0375  Query:  Greek on IBMs  (1/9)

 Elaine Brennan & Allen Renear Wed, 8 Aug 90 16:40:17 EDT

 4.0376  Responses:  TEI;  On Technology  (2/52)

 Elaine Brennan & Allen Renear Wed, 8 Aug 90 16:42:42 EDT

 4.0377  More on Texas Comp. Controversy  (6/176)

 Elaine Brennan & Allen Renear Wed, 8 Aug 90 17:03:02 EDT

 4.0378  Responses:  On Technology;  Wittgenstein/Poetry  (2/92)

 Elaine Brennan & Allen Renear Thu, 9 Aug 90 16:52:39 EDT

 4.0379  Notes and Queries:  Collocations;  IBM Greek  (2/36)

 Elaine Brennan & Allen Renear Thu, 9 Aug 90 16:54:30 EDT

 4.0380  Texas Comp. Controversy, cont.;  Jim Sledd  (3/108)

 Elaine Brennan & Allen Renear Thu, 9 Aug 90 16:59:20 EDT

 4.0381  Call for Papers;  A Query  (2/46)

 Elaine Brennan & Allen Renear Fri, 10 Aug 90 15:28:23 EDT

 4.0382  Wittgenstein ... and Early Welsh Poetry  (1/50)

 Elaine Brennan & Allen Renear Fri, 10 Aug 90 15:30:46 EDT

 4.0383  Jim Sledd;  Literature  (was Texas Controversy)  (2/31)

 Elaine Brennan & Allen Renear Fri, 10 Aug 90 15:32:29 EDT

 4.0384  Internet Library List -- New Release  (1/37)

 Elaine Brennan & Allen Renear Tue, 14 Aug 90 13:05:36 EDT

 4.0385  Responses:  SIMTEL Server;  IBM Greek  (2/44)

 Elaine Brennan & Allen Renear Tue, 14 Aug 90 13:14:27 EDT

 4.0386  On Technology  (2/58)

 Elaine Brennan & Allen Renear Tue, 14 Aug 90 13:26:04 EDT

 4.0387  Jim Sledd/Texas Comp. Controversy  (1/11)

 Elaine Brennan & Allen Renear Tue, 14 Aug 90 13:31:51 EDT

 4.0388  ACH Membership  (1/61)

 Elaine Brennan & Allen Renear Thu, 16 Aug 90 00:14:51 EDT

 4.0389  New List Announcement:  Polyglot  (1/76)

 Elaine Brennan & Allen Renear Thu, 16 Aug 90 00:21:28 EDT

 4.0390  Queries  (3/31)

 Elaine Brennan & Allen Renear Thu, 16 Aug 90 17:40:15 EDT

 4.0391  Technology, Etc.  (3/74)

 Elaine Brennan & Allen Renear Thu, 16 Aug 90 17:42:37 EDT

 4.0392  R: ALLC mail; Qs: Hebrew; Camb Computing; CPM2DOS  (4/66)

 Elaine Brennan & Allen Renear Mon, 20 Aug 90 18:12:51 EDT

 4.0393  Memory  (1/78)

 Elaine Brennan & Allen Renear Mon, 20 Aug 90 18:14:41 EDT

 4.0394  On Technology  (3/63)

 Elaine Brennan & Allen Renear Mon, 20 Aug 90 18:17:33 EDT

 4.0395  Why ""computers"";  Jim Sledd  (2/74)

 Elaine Brennan & Allen Renear Mon, 20 Aug 90 18:20:49 EDT

 4.0396  Network Access for Small Colleges & ind. Scholars  (1/28)

 Elaine Brennan & Allen Renear Mon, 20 Aug 90 18:25:36 EDT

 4.0397  Network Access for Colleges and Individuals  (4/156)

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 17:43:06 EDT

 4.0398  Responses:  ALLC Email Address;  CP/M2DOS  (3/48)

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 17:45:20 EDT

 4.0399  Memory, Gender, and Handedness  (5/66)

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 17:50:22 EDT

 4.0400  Computers -- Names for and Nature of  (4/109)

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 17:55:23 EDT

 4.0401  On Technology  (3/109)

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 18:01:15 EDT

 4.0402  Qs:  Thomas Oakes?   Danish History/Computing   (2/41

 Elaine Brennan & Allen Renear Tue, 21 Aug 90 18:04:16 EDT

 4.0403  Follow-ups:  CP/M to DOS;  Network Access;  Sledd  (3/95)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 15:29:06 EDT

 4.0404  Nature of Computers   (4/163)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 15:47:39 EDT

 4.0405  Names for Computers  (2/23)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 15:50:06 EDT

 4.0406  Digital vs. Analog Watches  (2/42)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 15:51:22 EDT

 4.0407  Handedness and Memory  (3/61)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 15:56:03 EDT

 4.0408  Big Science  (1/20)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 16:08:15 EDT

 4.0409  Etext Queries:  Nostradamus;  Chesterton  (2/26)

 Elaine Brennan & Allen Renear Wed, 22 Aug 90 18:03:52 EDT

 4.0410  CP/M to DOS  (3/69)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 20:41:31 EDT

 4.0411  Network Access -- FreeNet  (2/71)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 20:44:35 EDT

 4.0412  Digital vs. Analog Watches  (4/82)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 20:54:08 EDT

 4.0413  Trademark Neologisms  (2/51)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 20:59:57 EDT

 4.0414  Big Science  (2/52)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:07:29 EDT

 4.0415  Computer Names  (1/48)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:08:47 EDT

 4.0416  Various:  Handedness;  Sledd;  Halio  (3/69)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:13:35 EDT

 4.0417  Announcement:  ALLC-ACH92    (1/23)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:15:39 EDT

 4.0418  Digital Computers and Binary Representation  (1/7)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:17:47 EDT

 4.0419  Names & Kinship Knowledge; On Technology/Memory  (2/111)

 Elaine Brennan & Allen Renear Thu, 23 Aug 90 21:22:52 EDT

 4.0420  More on Trademarks  (6/122)

 Elaine Brennan & Allen Renear Fri, 24 Aug 90 22:18:49 EDT

 4.0421  Responses: Memory; Digital Computers; Big Science  (3/61)

 Elaine Brennan & Allen Renear Fri, 24 Aug 90 22:26:44 EDT

 4.0422  Kinship  (2/37)

 Elaine Brennan & Allen Renear Fri, 24 Aug 90 22:29:56 EDT

 4.0423  Watches  (8/140)

 Elaine Brennan & Allen Renear Fri, 24 Aug 90 22:40:55 EDT

 4.0424  Multimedia CD-ROMs in Libraryies  (1/48)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 16:54:05 EDT

 4.0425  Analog vs. Digital Watches  (4/100)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 16:59:08 EDT

 4.0426  Trademark Neologisms  (7/100)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 17:03:26 EDT

 4.0427  Nature of Computers  (2/32)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 17:08:33 EDT

 4.0428  Announcement: Oral History Association Meeting  (1/11)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 17:09:54 EDT

 4.0429  Citation Indexes  (2/28)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 17:14:48 EDT

 4.0430  Handwriting Technology. Why?  (1/42)

 Elaine Brennan & Allen Renear Mon, 27 Aug 90 17:19:21 EDT

 4.0431  Handwriting Technology.  Why?  (3/99)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:03:12 EDT

 4.0432  Nature of Computers  (2/36)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:08:10 EDT

 4.0433  Analog vs. Digital Watches  (3/54)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:11:21 EDT

 4.0434  Names;  Kinship  (2/44)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:13:46 EDT

 4.0435  Trademark Neologisms  (3/49)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:16:06 EDT

 4.0436  Qs:  Teilhard etext?;  War Studies?;  Job?  (3/37)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:22:41 EDT

 4.0437  O.B. Hardison, Jr.  (1/50)

 Elaine Brennan & Allen Renear Tue, 28 Aug 90 22:27:29 EDT

 4.0438  Handwriting Technology  (5/229)

 Elaine Brennan & Allen Renear Thu, 30 Aug 90 22:51:00 EDT

 4.0439  ACH Taskforce on Humanities Computing Support  (1/82)

 Elaine Brennan & Allen Renear Thu, 30 Aug 90 23:01:12 EDT

 4.0440  Nature of Computers  (1/43)

 Elaine Brennan & Allen Renear Thu, 30 Aug 90 23:06:35 EDT

 4.0441  Conference:  Word Order in Discourse  (1/20)

